userName,score,at,content
Rahma Wati,1,2022-04-21 11:43:15,"Tidak semua orang Punya hp dan bisa instal peduli lindungi, ada yang sudah di vaksin tapi tidak bisa keluar sertifikatnya. Harusnya pemerintah itu lebih mempermudah, sudah orang susah mau disuruh beli hp lagi, terus kalau nda ada hp, bagaimana mau keluar sertifikatnya, yang ada mau di vaksin berkali kali, apalagi yang tinggal dipelosok. Aplikasi masih belum Peduli atau melindungi menurut saya. Tidak cocok dengan namanya."
Ma Rahma,3,2022-04-21 09:56:42,"Tiap scan kenapa loading nya lama banget ya, bisa sampai 30menitan 🥲 jadi ga enak sama antrian yg mau scan juga"
Wisnu Tp,1,2022-04-21 09:18:33,Ini aplikasi untuk membantu apa mempersulit .bikin sertifikat vaksin sudah semua tnggl bulan itu sudah benar semua trus ada kata belom melakukan klaim?suruh klaim tpi di pencet g kena .tertera sudah vaksin tapi sertifikat tidak ada???
IS SUTAMTO,1,2022-04-21 06:59:18,"Apk gak mutu, gak bisa cek sertifikat kebanyakan langkah2. Gak guna dah pokoknya, nyesel download. Bukan nya mempermudah malah bikin susah."
Budi Setiawan,1,2022-04-21 05:22:53,"Lemot banget ini aplikasi lama2, setengah jam baru bisa kebuka, parah, Aplikasi pemerintah ga ada yg bener, uangnya habis di korup Payah"
Dwi Ageng Anidar,1,2022-04-21 05:00:33,"Saat saya login dengan nomer atau email yang sudah terdaftar kenapa malah user not found terus,, setelah diperbaharui malah makin sulit aksesnya, padahal saya seharusnya sudah jadwalnya untuk vaksin booster jadi tertunda. Mohon dibantu untuk bisa login kembali."
yusro laily,1,2022-04-21 04:57:57,Semakin menyulitkan ketika lagi ada musibah kehilangan HP dan memakai HP yg lama mau download apk ini gak bisa karena perangkat tidak mendukung untuk apk ini. Padahal kalo kemana-mana mewajibkan adanya apk ini untuk scan. Kalah sama apk swasta belanja online yg bisa di instal di type HP lama padahal ini adalah punya pemerintah tapi kenapa gak mendukung di type HP yg lama.
dull nd,1,2022-04-21 04:16:52,"1. Aplikasi terlalu lambat loading. Koneksi bagus. 2. Pencarian tanggal msh manual. Jika tahun 1960an, berapa kali harus mengetik."
wiwit larassati,2,2022-04-21 04:11:59,"Setelah diupdate minta aktifkan bluetooth terus at the end ga bisa dibuka kenapa harus update jika demikian, bisa ga balik ke versi lama aja, coba cek lagi deh, kaji lagi"
Rahmad Ramadan,1,2022-04-21 03:43:57,makin di perbarui makin tdk jelas. makin jelek. makin sulit untuk mengakses nya . tolong yaa di perbaiki . jadinya ini aplikasi kaya tidak ada gunanya
Sugi,5,2022-04-21 02:46:18,"sangat bermanfaat, tapi sayang nya pada saat Akan update, malah muncul notifikasi (Aplikasi Peduli Lindungi tidak dapat di instal)"
Redho Widodo,3,2022-04-21 01:35:43,"Kenapa setelah aplikasi di perbaharui selalu gagal check in saat scan barcode,padahal waktu versi lama selalu bisaa.. Solusinya gimana biar bisa check in lagi? Terimakasih"
Adi Wijaya,1,2022-04-21 01:06:37,"Rumit dan lamban, mintalah developer menggunakan nosql saja, MongoDB atau hypertable, dan sesuaikan login dengan KTP, saya kira sertifikat muncul begitu kita masukkan no KTP dan nama, ternyata aplikasi tidak menemukan koneksinya dan menganggap belum ada sertifikat."
Abdi Romadhon,2,2022-04-21 00:39:30,Mau check in gak bisa Keterangannya sudah check in Tapi gak ada tombol buat check out Mending versi yang lama aja lebih simple dan gak berbelit
Saif Aza,1,2022-04-21 00:03:57,"Bikin yg mudah simple, emang GA BISA ??? bikin yg kompatible buat android 5.0 dan kebawahnya juga.... Malah dibuat utk android 7.0 ke atas, emang orag gampang ganti HP baru !!!! Mikiiiiir.....!"
Darman,1,2022-04-21 00:00:12,"Sertifikat vaksin saya pertama, kedua, dan boster sudah pernah ada di Aplikasi ini. Tiba2 hilang dan sudah saya klaim. Jawaban klaim bahwa saya belum vaksin. Jawaban wa kemenkes supaya sy akses melalui website, dan memang di website ada. Cuma jadinya tidak praktis dipakai dalam perjalanan. Malahan mereka jadi curiga bawa sy belum vaksin karena tidak tercantum dalam aplikasi peduli lindungi. Jawaban CUMA MOHON MAAF. APA SOLUSINYA AGAR SERTIFIKAT SAYA ADA DI APLIKASI INI?"
Ribawa Hariadi,5,2022-04-20 22:43:19,"Terimakasih peduli lindungi, memudahkan kami dalam perjalanan maupun semua kegiatan yg memerlukan akses serifikat/bukti vaksin, berobat jadi mudah ."
Mas Nurhadi,3,2022-04-20 20:38:54,"Saya kasi bintang 3 saja karena proses klaim sertifikat terlalu lama, dan juga tidak langsung berhasil. Dan sangat lambat menampilkan sertifikat setelah di lakukan vaksin sampai benerapa minggu belum muncul di aplikasi"
Nurdin,1,2022-04-20 20:06:27,"Kenapa Sartifikat Vaksin ke 3 nya gak muncul ?? Sudah tanya ke faskes pelaksana, info nya sudah di input ke Pcare ( info nya sistem sedang error ). Sudah tidak minggu tapi belum euar juga di PeduliLindungi. Sudah coba ikuti arahan, tapi tetap saja belum ada solusi."
Review Tv,5,2022-04-20 18:15:28,"Apk nya sangat membantu,semoga kedepan nya bisa di kembangkan lagi,untuk bayar bpjs ,pajak ,SIM dan segalamacam yg berurusan dengan pemerintahan bisa di akses pake apk ini,saya berharap dengan ada apk ini bisa lebih memudahkan masyrakat"
angelina sitio,4,2022-04-20 17:48:28,"Over all sudah bagus, hanya saja saya kesulitan memasukan data dengan benar di aplikasi. Nama saya dan nik saya katanya tidak sesuai, pedahal sudah di cek berkali"" Sama kok. Bahkan sudah konfirmasi ke kemendagri data saya fine"" Aja. Saya menghubungin pihak peduli lindungi sangat sulit, sibuk banget. Sehingga saya binggung, sertifikasi saya juga ngak muncul , jadi kemana"" Susah. Hehe, mas mbak kalau sudah baca chat saya ini, tolong ya perbaiki data saya. Krn klian sulit dihub. Semangat. Love."
Akun Ku,5,2022-04-20 13:45:44,"Aplikasinya bagus kok, tapi untuk update selanjutnya tolong tambahkan fitur / perbaiki bug - Tolong perbaiki bug supaya saat cek sertifikat vaksin tidak lama saat proses memuat - Tambahkan fitur tema gelap Terima kasih..."
Hamazim Afifudin,2,2022-04-20 12:42:26,"Kanapa sudah upgrade, tapi makin susah, saya coba mengisi data klaim pada tgl lahir, harus mencari menggeser tgl bln dan tahun sendiri, kenapa tidak di buat simpel, kenapa tidak ketik sendiri tgl bln dan thn nya itu akan mempercepat proses klaimnya, Cobalah di buat yg simpel,"
Enevrid Dekastri,5,2022-04-20 11:50:07,"Untuk tampilan sudah lebih baik dan mudah dipahami. Tapi kenapa yah setelah update malah sertifikat vaksin hilang semua. Untungnya sertifikat vaksin pertama dan kedua sudah di backup. Tapi untuk sertifikat vaksin ke tiga , gak tau gimana nasibnya. Mohon diperbaiki lagi. 🙏"
Muhamad Samsul Rizal,1,2022-04-20 10:13:35,"Aplikasi kurang update, saya sudah berminggu-minggu vaksin booster tapi sertifikat tidak muncul, proses klaim juga gagal terus ""dated not match"" terus. Tolong perbaiki segera"
34.X IPS 2 Taufikur Rachman,1,2022-04-20 09:31:35,Ini apansih sampah banget masak saya sudah daftar dengan nomor telpon yang benar masih tidak bisa pakai. dikasih batas lagi cuma sampai tiga kali kalo sudah lebih gk bisa lagi daftar ini adminnya makan gaji buta kah haa? Saya tinggal nunggu kode otp padahal tapi belum dikirim juga sama adminnya sampah banget nih aplikasi
erinn,4,2022-04-20 08:51:30,"aplikasi ini sangat membantu terutama saat lagi pandemi seperti ini. tapi aplikasi ini butuh sinyal yg bagus biar bisa scan, kadang suka lemot juga. tapi membantu sih 👍👍"
AZIZI Channel,1,2022-04-20 08:28:01,"Dulu bisa klaim lebih sertifikat faksin, sekarang sudah capek2 isi data, ujungnya waktu mau centang verifikasi sudah gak bisa, sekarang sesudah di perbarui juga gak ada respon apa2, masih gak bisa verifikasi, hpus aja lah karena aku berasa gak penting kalau begini aplikasi"
Rifaldi Doang,1,2022-04-20 06:57:56,"Kasihan bagi yg nggak punya android, aplagi lansia, walo link sertifikat dikirim via sms pun.., gimna mereka mau download? Knpa sih nggak dipermudah saja untuk sertifikatnya bisa didapat via pcare vaksinasi? Biar bisa langsung dapat sertifikatnya saat setelah selesai vaksinasi.."
Yesha Bio Valencia,3,2022-04-20 06:12:41,"Aplikasinya bagus dan memudahkan pada waktu awal, tapi untuk sekarang sulit untuk mengklaim sertif punya orang lain, selalu gagal dengan keterangan ""captca salah"" padahal sudah berulang kali sudah hampir sebulan tetap tidak bisa, mohon diperbaiki lagi agar lebih mudah, terima kasih."
Yeni Andiani,5,2022-04-20 05:58:27,"Aplikasi nya sangat membantu ,memudahkan kita untuk mengecek tempat vaksin yg kita butuh kan dan jg langsung mendapat kan sertifikatnya.tapi sayangnya di akun aplikasi ini nik saya tidak sesuai dg nik yg sebenarnya. Mungkin agar lebih di tingkatkan lg aja yah,ketelitiannya."
Didin Al Islami,1,2022-04-19 14:29:33,"Untuk membuat akun, sangat sulit bagi orang yang belum memiliki smartphone atau orang yang hanya memiliki hp kecil atau jadul sebab kode otpnya sangat lama masuk melalui sms beda jika melalui WhatsApp kode otp nya cepat masuk .. bagi pengguna yang belum memiliki hp ataupun hanya menggunakan hp kecil jadul seperti di kampung2 .. sangat kesulitan"
Hery Gunawan,1,2022-04-19 12:59:06,"Emang manfaat ni app buat kita apa sih??? Serius nanya Blm merasakan manfaatnya Yg ada cuma mempersulit, mau kemana2 harus scan, sering ketinggalan kereta akhirnya gaji kita dipotong gegara telat"
Yuliana Warseno,5,2022-04-19 08:52:16,"Makin kesini.. cepat sekali penanganan mengganti data saya yg salah.. aku sih lewat WA ,kl lewat tlp suka lama.."
Woto Gundi,1,2022-04-19 08:05:21,Saat menyesuaikan tanggal dan tahun harus di urutkan dan sangat lama sekali... Benar2 aplikasi yg membanggongkan.... Apakah tidak bisa tgl dan tahunnya langsung di tulis tanpa harus mengurutkan satu demi satu hingga memakan waktu lama....
M. Alphard Nik Zafran kusnadi,1,2022-04-19 05:57:19,"Aplikasi bodoh,.. makin kesini makin muter2 saja, menghabiskan quota yg ada, mau cek sertifikat saja susah selangit, masukkan tanggal lahir harus ngurut kalender gk bisa di ketik langsung, begitupula tgl vaksin,.. tapi yg paling menyakitkan hati endingnya semua zonk tak dapat dibuka"
Ulil uclik,1,2022-04-19 02:31:53,"Seperti inikah Indonesia, Kenapa untuk sebuah versi saja PeduliLindungi harus Pilih kasih? Tolong Developer di perbaiki perasaannya, agar Aplikasi bisa di akses semua kalangan, tanpa membeda bedakan versi Os sebuah ponsel."
Guvi 3108,1,2022-04-19 01:48:15,"Sertifikat hilang dr aplikasi, dan saat di klaim di bilang data tidak sesuai. Pdahal semua udh sesuai. Di cba berkali² juga ttp ga sesuai.. bikin susah masyarakat kalian"
Pamanah Nalarasa,1,2022-04-18 23:41:37,Sudh vaksin booster tp sertifikatnya blm muncul di aplikasi..sdh konfirmasi lewat wa dan sms tp tidak ada respon...tolong dong yg serius klo buat aplilasi jg main2 ini untuk kepentingan masyarakat
Nurma Widayati,3,2022-04-18 23:39:22,"Di android punya emakku sudah g kompatibel, jadi g bisa download aplikasi ini. Jadi g bisa ngecek deh kapan jadwal vaksin boosternyaa... 👎👎👎👎👎"
Intan Mayasary,2,2022-04-18 23:16:48,"Aplikasinya jadi aneh. Sumpah, klo bukan aplikasi wajib buat masuk kantor udah gw hapus nih aplikasi. Kenapa harus aktifin bluetooth sih, trus klo udah check in kenapa otomatis keluar pas aplikasinya di tutup. Aplikasi aneh"
Harno,5,2022-04-18 17:51:55,"Setiap mau SCAN QR CODE tidak bisa dan selalu muncul sesuaikan nama dan nik, padahal udah sesuai KTP kok tetep gk bisa scan QR CODE kenapa ya,mohon infonya"
Risto Samdani,1,2022-04-18 14:33:08,"Jelas jelas sudah di vaksin ke 3 dan sy sudah bisa download semua sertifikat nya dan sudah saya cetak, tapi ketika mau lihat ulang atau download ulang sertifikat itu dia bilang jenis vaksin salah, salahnya dimana ? Versi udah terbaru, mata sy ga buta ,sy ikutin sesuai sertifikat yg ada, tapi tetap aja gabisa, dulu sy bisa nolongin download punya orang sampai ratusan ga masalah, skarang makin amburadul ga jelas.itulah karya anak bangsa tidak bisa di percaya"
eva mala,3,2022-04-18 05:52:30,Min aplikasi yg terbaru ini kalo sudah check-in riwayat perjalanan sering gk keluar. Apalagi mau check out jadi agak susah
Tria Metriani,5,2022-04-17 22:15:50,"Dear admin peduli lindungi, Mohon dibantu saya sudah vaksin ke tiga dari bulan januari tetapi untuk sertifikat di aplikasi ini tidak muncul, tolong di cek ya. Terimakasih"
ADien,2,2022-04-17 20:48:18,"Untuk pengisian Data Tanggal Lahir sangat tidak relevan, di mana kita harus mengklik mundur setiap bulannya satu persatu. Dan juga untuk mengklaim sertifikat vaksin sangat susah, padahal datanya sudah sesuai."
TAERUDIN SANTOSO,2,2022-04-17 15:45:55,"Sulit Sekali, Terutama bagi yg Gaptek, untuk cetak Sertifikat aja Ada Serangkaian yg berbelit, dan yg bikin orang enggan saat disesi masukan tgl lahir, dan tgl vaksin terakhir. Harus manual tekan navigasi satu persatu, yg menyita waktu dan parahnya lg sdh jauh2..?? Close keluar sendiri aplikasi error. Ini tidak efektif, Terimakasih"
TRN,1,2022-04-17 15:05:53,"Yang pernah ngalamin tiba² hp lag, Panas dan batreai terkuras dari biasanya, aplikasi ini berusaha mengumpulkan Informasi data pengguna, seperti Lokasi, Foto dan Video. Dan data nya dikumpulkan untuk tunuan tertentu. Kemarin data saya terdaftar di Aplikasi Pinjol tanpa sepengetahuan saya."
donat coklat,1,2022-04-17 14:12:02,Kenapa aplikasinya tiba tiba tidak bisa dibuka? Pdhl sudah diperbarui. Tolong ya kerjaan saya sering keluar masuk bank jadi susah kalo gini. Kalo bukan karna kewajiban menggunakan aplikasi ini. Saya juga tidak akan gunakan. tapi malah tambah dipersulit seperti ini. Mohon segera di perbaiki!
Tamara Putri,1,2022-04-17 13:50:34,"Vaksin booster sudah 1 bulan tidak ada sertifikatnya. Mau claim ga bisa. Peduli lindungi tidak comunicatif, ada layanan WA tapi tidak ada respon."
Muhammad Faza Lababan,2,2022-04-17 09:05:36,"Menu riwayat check in aksesnya lewat mana ya? Saya cari-cari malah ga ada. Perasaan sebelum 2022 masih bisa diliat deh riwayat check in nya, sekarang malah ga ada menunya"
Fhkkk Fhkk,1,2022-04-17 08:15:33,Tetap gak bisa sudah upgrade ke versi baru malah nama tidak sesuai captha salah.. solusinya aja gmana caranya bisa download sertifikat vaksin
Siaga Pratama,1,2022-04-17 07:52:58,"Hal yg gua muak sama aplikasi ini, pertama akun gua sama akun nyokap gua jadi ketumpuk. Kedua udh di atur di hape nyokap gua akun nya, ttp balik ke akun gua sertifikat sama tiket vaksin. Sistem nya lemot. Setiap mau cek sertifikat nyokap gua, harus masukin data ulang kaya baru daftar. Mana ngatur tanggal lahir ga bisa di ketik, harus di pencet dari tnggal skrng sampe mundur ke 1978 Dari 2022 kan kek org tolol bet mencet 11 dimundurin ga bisa di skip. Jadi ribet apa-apa akun gua sama nyokap doubl"
Eddy Ranan,3,2022-04-17 06:21:40,"Saya kasih tau ya ketika update aplikasi ini sangat sulit dan lambat, kemudian hp Samsung saya selalu memberi peringatan bahwa aplikasi ini rusak. Coba 😀😀"
Moon Bee,1,2022-04-17 06:03:48,min tolong bug nya di fix in sertif vaksin gabisa di download malah zoom gajelas tolong segera di fix dan tolong versi android kebawah juga diperhatikan kasian orang tua/hpnya model lama gabisa download aplikasi pduli lindungi
Tommy Haris,3,2022-04-17 05:36:25,"Seharus nya aplikasi ini sudah mendukung untuk regristrasi vaksin sehingga teratur dan aman tidak yg berjubel, dimana himbauan untuk tidak berkerumun di kumandangkan tapi pemerintah seakan menutup mata pokok nya vaksin mau berjubel kek ujung2nya tingkat penularan naik. Tolong yg serius kalau mau atasi dengan kemudahan lewat aplikasi ini"
Himawanto Hidayat,1,2022-04-17 04:57:18,"Data sudah terdaftar di aplikasi peduli lindungi, tetapi utk cetak sertifikat vaksin, selalu gagal dan di anggap salah, masuk ke wa kemenkes gak pernah dapet solusinya..👎👎👎"
Yaka Abhina,1,2022-04-17 03:50:42,"tolong diperbaiki dong, saya mau download sertifikat vaksin tapi selalu jenis vaksin tidak sesuai semua, ini eror kenapa yaa, udah komplen ke puskesmas sama juga hasil nya, bukan hanya sertivikat yg ketiga aja, yg udah terbit di entri ulang pun sama keterangan nya jenis vaksin tidak sesuai, masak udah vaksin 3 kali gak dapat sertifikat nya, tolong dibenahi yaaa"
Novi Yanti,1,2022-04-17 02:30:53,Aplikasi ga jelas bukannya mempermudah malah dipersulit.saya sudah login berkali kali dengan data yang benar tetapi sampai sekarang sertifikat vaksin dosis ketiga tidak muncul.mohon bantuannya untuk mengeluarkan sertifikat vaksin saya
dilla fadhilla,2,2022-04-17 01:09:53,"Gak ngerti sama aplikasi peduli lindungi ini, dari awal vaksin sampe vaksin kedua, malah sertifikat saya gak ada masuk di aplikasi. Bagaimana ini kok data saya bisa tidak ada? Sudah di urus by email, telpon ke CS juga gak ada sampe skrg sertifikat nya. Katanya diperbaiki, nyatanya gak ada. Sangat mengecewakan!!"
Susana Susan,5,2022-04-16 23:38:42,"terimaksih aplikasi ini sangat membantu saya waktu terjadi kesalahan klaim sertifikat,dengan hitungan beberapa menit aplikasi ini membimbing saya menemukan sertifikat baik punya saya & anak saya & keluarga dosis 1&2 👍👍👍👍🙏🙏🙏🙏"
Lukman Nurul Hakim,1,2022-04-16 21:47:42,"aplikasi dengan data yang sama-sama chaos, padahal udah vaksin kedua tapi status di apk masih vaksin pertama, udah lapor juga via telepon dan email berkali-kali tapi tetap aja gak ada perubahan"
Muhammad Redo,1,2022-04-16 19:14:05,Sekarang koq gk bisa lagi membuka sertifikat vaksin untuk yang tidak punya HP android.. Biasanya satu hari bisa buka lima sertikat vaksin untuk nama yang berbeda.. Sekarang klo kita masukkan data selalu balasannya jenis vaksin tidak valid.. Kenapa y.. Apa solusinya??
Andre Elm,1,2022-04-16 17:59:32,"Aplikasinya sudah baik, ma kalau bisa untuk tahun dan tanggal lahir di input sendiri dari keyboard biar lebih mudah dan tidak memakan waktu🙏🙏"
Attaxs Tattoo,1,2022-04-16 16:14:18,"Saya bermasalah dengan klaim sertifikat vaksin di aplikasi ini, dan sampai sekarang tidak bisa klaim sertifikatnya,untuk menampilkan sertifikat harus kembali pakai wa lagi.. Tolong solusinya min"
Ardi Wibowo Altur,1,2022-04-16 15:06:20,Aplikasinya tidak merespon dan muncul notifikasi maaf anda tidak bisa melanjutkan aplikasi pedulilindungi karena hp yang anda gunakan terindikasi telah di jailbreak/root sehingga hp anda rentan terhadap gangguan keamanan. Kami sarankan untuk menggunakan hp lain untuk menggunakan aplikasi pedulilindungi. Hallow hp saya ini tidak pernah di root.. koq bisa terdeteksi seperti itu. Telong dong karena mau melakukan perjalanan harus scan barcode cek-in.
Muhammad Ridhwan,4,2022-04-16 14:03:20,Aplikasi ini bagus untuk check out dan saya males nya tuh pas... Saya lagi scan gambar nya tuh agak ngeblur... Tapi apk ini penting untuk pergi
Fajar Pamungkas,1,2022-04-16 13:05:30,"Aplikasi lemot,,udah vaksin ke 2 tapi sertifikat vaksin tidak pernah muncul sudah komplain via Wa kemenkes selalu suruh masukin kode OTP aneh!!!!! Tidak dipermudah malah semakin dipersulit!"
doni aidil,3,2022-04-16 10:27:14,Kenapa sekarang tidak bisa mengunduh sertifikat vaksin melalui pedulilindungi.id (web)... Keterangan ketika memasukan data nya (jenis vaksin tidak valid) padahal data yang dimasukkan sudah benar..
Alsiraj Sangadji,1,2022-04-16 07:25:19,Aplikasi yang sangat tidak membantu dan sangat menyulitkan...saya sudah 1 Minggu coba untuk mengklaim sertifikat vaksin tapi selalu gagal
CDP GAMING,3,2022-04-16 03:54:38,Untuk pihak developer ini kenapa ya saya baru dwonload apk kemarin tpi pas sya mau daftar terjadi kesalahan saat memasukkan no hp dan alamat email sudah saya masukan kedua cara tersebut tpi mlh tetep engga bisa
Azis 85,1,2022-04-16 01:17:21,"Setelah d update,,saya g bisa unduh sertifikat vaksin kaya sebelumnya,,kalo bisa jangan ada pembatasan versi android nya lah..kan kasian yg masih pake versi android lama..sama jangan ada batas maksimal klaim sertifikat vaksin ,,karna kalo d kampung kan,g semua orang pegang hp....jadi kaya 1 akun bisa semua keluarga ,yg penting kita ikutin anjuran pemerintah untuk vaksin..jadi mohon lah d permudah segala sesuatu nya jangan d bikin makin susah."
itsmecahya,1,2022-04-15 23:07:45,"Sertifikat booster saya udah setengah bulan gak muncul, udah nyoba pakai 3 cara + hubungin email gak ada kelanjutannya & udah nyoba telfon darurat 119 ttp gak bisa. Bahkan udah di update berkali-kali masih gak bisa"
Lita Marbun,2,2022-04-15 22:40:59,"Knp aplikasi ini tdk bs di download ulang di hp suami sy,pdhl sdh hps bbrp aplikasi tp jawabannya sllu ""perangkat anda tdk kompatibel dg versi ini""sblmnya baik2 sj...sy sgt kecewa pdhl suami sy mau prjlnn jauh pulang kampung....kecewa berat😪😪😪"
Komaruddin Almughni,2,2022-04-15 22:11:58,"Untuk menu tanggal lahir nya gk bisa itomatis ngetik manual,,klmaan cari tanggal lahirnya..lemot pula.."
yanni srimulyani,1,2022-04-15 21:50:45,kenapa gak bisa daftar.. padahal sebelumnya bisa.. mentok di tgl lahir.. ibu ku kelahiran 60an.. susahh ngaturnya.. mesti mentok di 2002.. sedangkan aku 97 bisa masuk.. tolong dong min solusinya..
Gombloh chanel,1,2022-04-15 21:06:04,"Aplikasi yg harusnya di habus saja, bikin ribet , belum lagi scan2 dan otomatis data pribadi kita tersimpan di sana, apakah aman?"
Musa Rayhan,2,2022-04-15 13:47:55,"Tidak bisa daftar menggunakan nomer passpor seperti di negara negara lain, kesulitan bagi WNI yang di luar negeri yang belum ada KTP dan hanya sebatas NIK di KK tidak berhasil mendaftar"
